column,start,length
SCHOOL ID (R-C-D-S),1,13
"SCHOOL TYPE CODE (0,1,2,C)",15,1
SCHOOL NAME,17,33
DISTRICT NAME,51,33
CITY,85,17
COUNTY,103,11
"DISTRICT TYPE CODE (0,1,2,9)",115,1
"DISTRICT SIZE CODE (1,2,...8,9)",117,1
DISTRICT TYPE NAME,119,11
DISTRICT SIZE NAME,131,6
SCHOOL TYPE NAME,138,11
GRADES IN SCHOOL,150,28
SCHOOL - WHITE %,179,5
SCHOOL - BLACK %,185,5
SCHOOL - HISPANIC %,191,5
SCHOOL - ASIAN %,197,5
SCHOOL - NATIVE AMERICAN %,203,5
SCHOOL TOTAL ENROLLMENT,209,5
SUBREGION - WHITE %,215,5
SUBREGION - BLACK %,221,5
SUBREGION - HISPANIC %,227,5
SUBREGION - ASIAN %,233,5
SUBREGION - NATIVE AMERICAN %,239,5
SUBREGION TOTAL ENROLLMENT,245,7
DISTRICT - WHITE %,253,5
DISTRICT - BLACK %,259,5
DISTRICT - HISPANIC %,265,5
DISTRICT - ASIAN %,271,5
DISTRICT - NATIVE AMERICAN %,277,5
DISTRICT TOTAL ENROLLMENT,283,7
STATE - WHITE %,291,5
STATE - BLACK %,297,5
STATE - HISPANIC %,303,5
STATE - ASIAN %,309,5
STATE - NATIVE AMERICAN %,315,5
STATE TOTAL ENROLLMENT,321,9
L.E.P. SCHOOL %,331,5
L.E.P. SUBREGION %,337,5
L.E.P. DISTRICT %,343,5
L.E.P. STATE %,349,5
LOW-INCOME SCHOOL %,355,5
LOW-INCOME SUBREGION %,361,5
LOW-INCOME DISTRICT %,367,5
LOW-INCOME STATE %,373,5
PARENTAL INVOLVEMENT SCHOOL %,379,5
PARENTAL INVOLVEMENT SUBREGION %,385,5
PARENTAL INVOLVEMENT DISTRICT %,391,5
PARENTAL INVOLVEMENT STATE %,397,5
ATTENDANCE RATE SCHOOL % (ALL),403,5
ATTENDANCE RATE SUBREGION % (ALL),409,5
ATTENDANCE RATE DISTRICT % (ALL),415,5
