column,start,length
SCHOOL ID (R-C-D-T-S),1,15
"SCHOOL TYPE CODE (0,1,2,C)",17,1
SCHOOL NAME,19,33
DISTRICT NAME,53,33
CITY,87,17
COUNTY,105,11
"DISTRICT TYPE CODE (0,1,2,9)",117,1
"DISTRICT SIZE CODE (1,2,...8,9)",119,1
DISTRICT TYPE NAME,121,11
DISTRICT SIZE NAME,133,6
SCHOOL TYPE NAME,140,11
GRADES IN SCHOOL,152,31
SCHOOL - WHITE %,184,5
SCHOOL - BLACK %,190,5
SCHOOL - HISPANIC %,196,5
SCHOOL - ASIAN %,202,5
SCHOOL - NATIVE AMERICAN %,208,5
SCHOOL - MULTIRACIAL/ETHNIC %,214,5
SCHOOL TOTAL ENROLLMENT,220,5
SUBREGION - WHITE %,226,5
SUBREGION - BLACK %,232,5
SUBREGION - HISPANIC %,238,5
SUBREGION - ASIAN %,244,5
SUBREGION - NATIVE AMERICAN %,250,5
SUBREGION - MULTIRACIAL/ETHNIC %,256,5
SUBREGION TOTAL ENROLLMENT,262,7
DISTRICT - WHITE %,270,5
DISTRICT - BLACK %,276,5
DISTRICT - HISPANIC %,282,5
DISTRICT - ASIAN %,288,5
DISTRICT - NATIVE AMERICAN %,294,5
DISTRICT - MULTIRACIAL/ETHNIC %,300,5
DISTRICT TOTAL ENROLLMENT,306,7
STATE - WHITE %,314,5
STATE - BLACK %,320,5
STATE - HISPANIC %,326,5
STATE - ASIAN %,332,5
STATE - NATIVE AMERICAN %,338,5
STATE - MULTIRACIAL/ETHNIC %,344,5
STATE TOTAL ENROLLMENT,350,9
L.E.P. SCHOOL %,360,5
L.E.P. SUBREGION %,366,5
L.E.P. DISTRICT %,372,5
L.E.P. STATE %,378,5
LOW-INCOME SCHOOL %,384,5
LOW-INCOME SUBREGION %,390,5
LOW-INCOME DISTRICT %,396,5
LOW-INCOME STATE %,402,5
PARENTAL INVOLVEMENT SCHOOL %,408,5
PARENTAL INVOLVEMENT SUBREGION %,414,5
PARENTAL INVOLVEMENT DISTRICT %,420,5
PARENTAL INVOLVEMENT STATE %,426,5
ATTENDANCE RATE SCHOOL % (ALL),432,5
ATTENDANCE RATE SUBREGION % (ALL),438,5
ATTENDANCE RATE DISTRICT % (ALL),444,5
ATTENDANCE RATE STATE % (ALL),450,5
ATTENDANCE RATE SCHOOL % (MALE),456,5
ATTENDANCE RATE SUBREGION % (MALE),462,5
ATTENDANCE RATE DISTRICT % (MALE),468,5
ATTENDANCE RATE STATE % (MALE),474,5
ATTENDANCE RATE SCHOOL % (FEMALE),480,5
ATTENDANCE RATE SUBREGION % (FEMALE),486,5
ATTENDANCE RATE DISTRICT % (FEMALE),492,5
ATTENDANCE RATE STATE % (FEMALE),498,5
ATTENDANCE RATE SCHOOL % (WHITE),504,5
ATTENDANCE RATE SUBREGION % (WHITE),510,5
ATTENDANCE RATE DISTRICT % (WHITE),516,5
ATTENDANCE RATE STATE % (WHITE),522,5
ATTENDANCE RATE SCHOOL % (BLACK),528,5
ATTENDANCE RATE SUBREGION % (BLACK),534,5
ATTENDANCE RATE DISTRICT % (BLACK),540,5
ATTENDANCE RATE STATE % (BLACK),546,5
ATTENDANCE RATE SCHOOL % (HISPANIC),552,5
ATTENDANCE RATE SUBREGION % (HISPANIC),558,5
ATTENDANCE RATE DISTRICT % (HISPANIC),564,5
ATTENDANCE RATE STATE % (HISPANIC),570,5
ATTENDANCE RATE SCHOOL % (ASIAN),576,5
ATTENDANCE RATE SUBREGION % (ASIAN),582,5
ATTENDANCE RATE DISTRICT % (ASIAN),588,5
ATTENDANCE RATE STATE % (ASIAN),594,5
ATTENDANCE RATE SCHOOL % (NATIVE AMERICAN),600,5
ATTENDANCE RATE SUBREGION % (NATIVE AMERICAN),606,5
ATTENDANCE RATE DISTRICT % (NATIVE AMERICAN),612,5
ATTENDANCE RATE STATE % (NATIVE AMERICAN),618,5
ATTENDANCE RATE SCHOOL % (MULTIRACIAL),624,5
ATTENDANCE RATE SUBREGION % (MULTIRACIAL),630,5
ATTENDANCE RATE DISTRICT % (MULTIRACIAL),636,5
ATTENDANCE RATE STATE % (MULTIRACIAL),642,5
ATTENDANCE RATE SCHOOL % (LEP),648,5
ATTENDANCE RATE SUBREGION % (LEP),654,5
ATTENDANCE RATE DISTRICT % (LEP),660,5
ATTENDANCE RATE STATE % (LEP),666,5
ATTENDANCE RATE SCHOOL % (MIGRANT),672,5
ATTENDANCE RATE SUBREGION % (MIGRANT),678,5
ATTENDANCE RATE DISTRICT % (MIGRANT),684,5
ATTENDANCE RATE STATE % (MIGRANT),690,5
ATTENDANCE RATE SCHOOL % (IEP),696,5
ATTENDANCE RATE SUBREGION % (IEP),702,5
ATTENDANCE RATE DISTRICT % (IEP),708,5
ATTENDANCE RATE STATE % (IEP),714,5
ATTENDANCE RATE SCHOOL % (LOW INCOME),720,5
ATTENDANCE RATE SUBREGION % (LOW INCOME),726,5
ATTENDANCE RATE DISTRICT % (LOW INCOME),732,5
ATTENDANCE RATE STATE % (LOW INCOME),738,5
MOBILITY RATE SCHOOL %,744,5
MOBILITY RATE SUBREGION %,750,5
MOBILITY RATE DISTRICT %,756,5
MOBILITY RATE STATE %,762,5
CHRONIC TRUANTS # - SCHOOL,768,5
CHRONIC TRUANTS  #- SUBREGION,774,6
CHRONIC TRUANTS  #- DISTRICT,781,6
CHRONIC TRUANTS  #- STATE,788,6
CHRONIC TRUANTS RATE SCHOOL %,795,5
CHRONIC TRUANTS RATE SUBREGION %,801,5
CHRONIC TRUANTS RATE DISTRICT %,807,5
CHRONIC TRUANTS RATE STATE %,813,5
DROPOUT RATE  SCHOOL %,819,5
DROPOUT RATE SUBREGION %,825,5
DROPOUT RATE DISTRICT %,831,5
DROPOUT RATE STATE %,837,5
HS GRAD RATE SCHOOL % (ALL),843,5
HS GRAD RATE SUBREGION % (ALL),849,5
HS GRAD RATE DISTRICT % (ALL),855,5
HS GRAD RATE STATE % (ALL),861,5
HS GRAD RATE SCHOOL % (MALE),867,5
HS GRAD RATE SUBREGION % (MALE),873,5
HS GRAD RATE DISTRICT % (MALE),879,5
HS GRAD RATE STATE % (MALE),885,5
HS GRAD RATE SCHOOL % (FEMALE),891,5
HS GRAD RATE SUBREGION % (FEMALE),897,5
HS GRAD RATE DISTRICT % (FEMALE),903,5
HS GRAD RATE STATE % (FEMALE),909,5
HS GRAD RATE SCHOOL % (WHITE),915,5
HS GRAD RATE SUBREGION % (WHITE),921,5
HS GRAD RATE DISTRICT % (WHITE),927,5
HS GRAD RATE STATE % (WHITE),933,5
HS GRAD RATE SCHOOL % (BLACK),939,5
HS GRAD RATE SUBREGION % (BLACK),945,5
HS GRAD RATE DISTRICT % (BLACK),951,5
HS GRAD RATE STATE % (BLACK),957,5
HS GRAD RATE SCHOOL % (HISPANIC),963,5
HS GRAD RATE SUBREGION % (HISPANIC),969,5
HS GRAD RATE DISTRICT % (HISPANIC),975,5
HS GRAD RATE STATE % (HISPANIC),981,5
HS GRAD RATE SCHOOL % (ASIAN),987,5
HS GRAD RATE SUBREGION % (ASIAN),993,5
HS GRAD RATE DISTRICT % (ASIAN),999,5
HS GRAD RATE STATE % (ASIAN),1005,5
HS GRAD RATE SCHOOL % (NATIVE AMERICAN),1011,5
HS GRAD RATE SUBREGION % (NATIVE AMERICAN),1017,5
HS GRAD RATE DISTRICT % (NATIVE AMERICAN),1023,5
HS GRAD RATE STATE % (NATIVE AMERICAN),1029,5
HS GRAD RATE SCHOOL % (MULTIRACIAL),1035,5
HS GRAD RATE SUBREGION % (MULTIRACIAL),1041,5
HS GRAD RATE DISTRICT % (MULTIRACIAL),1047,5
HS GRAD RATE STATE % (MULTIRACIAL),1053,5
HS GRAD RATE SCHOOL % (LEP),1059,5
HS GRAD RATE SUBREGION % (LEP),1065,5
HS GRAD RATE DISTRICT % (LEP),1071,5
HS GRAD RATE STATE % (LEP),1077,5
HS GRAD RATE SCHOOL % (MIGRANT),1083,5
HS GRAD RATE SUBREGION % (MIGRANT),1089,5
HS GRAD RATE DISTRICT % (MIGRANT),1095,5
HS GRAD RATE STATE % (MIGRANT),1101,5
HS GRAD RATE SCHOOL % (IEP),1107,5
HS GRAD RATE SUBREGION % (IEP),1113,5
HS GRAD RATE DISTRICT % (IEP),1119,5
HS GRAD RATE STATE % (IEP),1125,5
HS GRAD RATE SCHOOL % (LOW INCOME),1131,5
HS GRAD RATE SUBREGION % (LOW INCOME),1137,5
HS GRAD RATE DISTRICT % (LOW INCOME),1143,5
HS GRAD RATE STATE % (LOW INCOME),1149,5
ACT COMP SCHOOL,1155,4
ACT COMP SUBREGION,1160,4
ACT COMP DISTRICT,1165,4
ACT COMP STATE,1170,4
ACT ENGL SCHOOL SCORE,1175,4
ACT ENGL SUBREGION,1180,4
ACT ENGL DISTRICT SCORE,1185,4
ACT ENGL STATE SCORE,1190,4
ACT MATH SCHOOL SCORE,1195,4
ACT MATH SUBREGION,1200,4
ACT MATH DISTRICT SCORE,1205,4
ACT MATH STATE SCORE,1210,4
ACT READ SCHOOL SCORE,1215,4
ACT READ SUBREGION,1220,4
ACT READ DISTRICT SCORE,1225,4
ACT READ STATE SCORE,1230,4
ACT SCIE SCHOOL SCORE,1235,4
ACT SCIE SUBREGION,1240,4
ACT SCIE DISTRICT SCORE,1245,4
ACT SCIE STATE SCORE,1250,4
AVG CLASS SIZE - SCHOOL (KG),1255,4
AVG CLASS SIZE - SUBREGION (KG),1260,4
AVG CLASS SIZE - DISTRICT (KG),1265,4
AVG CLASS SIZE - STATE (KG),1270,4
AVG CLASS SIZE - SCHOOL (GR1),1275,4
AVG CLASS SIZE - SUBREGION (GR1),1280,4
AVG CLASS SIZE - DISTRICT (GR1),1285,4
AVG CLASS SIZE - STATE (GR1),1290,4
AVG CLASS SIZE - SCHOOL (GR2),1295,4
AVG CLASS SIZE - SUBREGION (GR2),1300,4
AVG CLASS SIZE - DISTRICT (GR2),1305,4
AVG CLASS SIZE - STATE (GR2),1310,4
AVG CLASS SIZE - SCHOOL (GR3),1315,4
AVG CLASS SIZE - SUBREGION (GR3),1320,4
AVG CLASS SIZE - DISTRICT (GR3),1325,4
AVG CLASS SIZE - STATE (GR3),1330,4
AVG CLASS SIZE - SCHOOL (GR4),1335,4
AVG CLASS SIZE - SUBREGION (GR4),1340,4
AVG CLASS SIZE - DISTRICT (GR4),1345,4
AVG CLASS SIZE - STATE (GR4),1350,4
AVG CLASS SIZE - SCHOOL (GR5),1355,4
AVG CLASS SIZE - SUBREGION (GR5),1360,4
AVG CLASS SIZE - DISTRICT (GR5),1365,4
AVG CLASS SIZE - STATE (GR5),1370,4
AVG CLASS SIZE - SCHOOL (GR6),1375,4
AVG CLASS SIZE - SUBREGION (GR6),1380,4
AVG CLASS SIZE - DISTRICT (GR6),1385,4
AVG CLASS SIZE - STATE (GR6),1390,4
AVG CLASS SIZE - SCHOOL (GR7),1395,4
